filename;stationsname;geopos;gemeinde;plz;anzahl_bikes;join_key
2023-05-11T18:16:00+00:00;PostParc Velostation (06:00-22:00)- INSIDE the building!;46.94786, 7.4369;0351;3008;8;2023-05-11T20:16:00+02:00-PostParc Velostation (06:00-22:00)- INSIDE the building!
2023-04-30T20:26:00+00:00;Wegmühlegässli;46.95816, 7.49261;0363;3072;12;2023-04-30T22:26:00+02:00-Wegmühlegässli
2023-05-11T18:16:00+00:00;Theaterplatz;46.9476, 7.44735;0351;3011;0;2023-05-11T20:16:00+02:00-Theaterplatz
2023-04-30T20:26:00+00:00;Wylerbad;46.96504, 7.45146;0351;3014;4;2023-04-30T22:26:00+02:00-Wylerbad
2023-05-11T18:16:00+00:00;Tiefenau Bahnhof;46.97293, 7.45085;0351;3004;6;2023-05-11T20:16:00+02:00-Tiefenau Bahnhof
2023-04-30T20:26:00+00:00;Melchiorstrasse;46.95238, 7.39149;0351;3027;3;2023-04-30T22:26:00+02:00-Melchiorstrasse
2023-05-11T18:16:00+00:00;Westside;46.94396, 7.3746;0351;3027;10;2023-05-11T20:16:00+02:00-Westside
2023-04-30T20:26:00+00:00;Zentweg;46.95551, 7.47688;0351;3006;1;2023-04-30T22:26:00+02:00-Zentweg
2023-05-11T18:16:00+00:00;Nationalbank;46.94689, 7.44583;0351;3011;6;2023-05-11T20:16:00+02:00-Nationalbank
2023-04-30T20:26:00+00:00;Jubiläumsplatz;46.94018, 7.45304;0351;3005;7;2023-04-30T22:26:00+02:00-Jubiläumsplatz
2023-05-11T18:16:00+00:00;Haslerstrasse;46.94508, 7.43245;0351;3008;5;2023-05-11T20:16:00+02:00-Haslerstrasse
2023-04-30T20:26:00+00:00;Europaplatz;46.94361, 7.40718;0351;3008;1;2023-04-30T22:26:00+02:00-Europaplatz
2023-05-11T18:16:00+00:00;Kasernenstrasse HKB;46.95527, 7.45932;0351;3013;4;2023-05-11T20:16:00+02:00-Kasernenstrasse HKB
2023-04-30T20:26:00+00:00;Ka-We-De;46.93561, 7.44714;0351;3005;7;2023-04-30T22:26:00+02:00-Ka-We-De
2023-05-11T18:16:00+00:00;Seminar;46.94274, 7.45954;0351;3006;0;2023-05-11T20:16:00+02:00-Seminar
2023-04-30T20:26:00+00:00;Hochfeldstrasse;46.95561, 7.42803;0351;3012;2;2023-04-30T22:26:00+02:00-Hochfeldstrasse
2023-05-11T18:16:00+00:00;Cäcilienplatz;46.94167, 7.42598;0351;3007;1;2023-05-11T20:16:00+02:00-Cäcilienplatz
2023-04-30T20:26:00+00:00;Rosengarten Ost;46.95207, 7.46158;0351;3013;0;2023-04-30T22:26:00+02:00-Rosengarten Ost
2023-05-11T18:16:00+00:00;Wankdorf Bhf Nord;46.96778, 7.46464;0351;3014;1;2023-05-11T20:16:00+02:00-Wankdorf Bhf Nord
2023-04-30T20:36:00+00:00;Neufeldstrasse Ost;46.95815, 7.43499;0351;3012;1;2023-04-30T22:36:00+02:00-Neufeldstrasse Ost
2023-05-11T18:16:00+00:00;Stöckacker Migros;46.94425, 7.39943;0351;3018;4;2023-05-11T20:16:00+02:00-Stöckacker Migros
2023-04-30T20:36:00+00:00;Beaumont;46.93711, 7.43224;0351;3007;0;2023-04-30T22:36:00+02:00-Beaumont
2023-05-11T18:16:00+00:00;Viktoriaplatz;46.95518, 7.45179;0351;3013;0;2023-05-11T20:16:00+02:00-Viktoriaplatz
2023-04-30T20:36:00+00:00;Falkenplatz;46.95155, 7.43454;0351;3012;0;2023-04-30T22:36:00+02:00-Falkenplatz
2023-05-11T18:16:00+00:00;Europaplatz;46.94361, 7.40718;0351;3008;6;2023-05-11T20:16:00+02:00-Europaplatz
2023-04-30T20:36:00+00:00;Brünnenstrasse;46.94279, 7.38707;0351;3018;2;2023-04-30T22:36:00+02:00-Brünnenstrasse
2023-05-11T18:16:00+00:00;Bellevuestrasse;46.92665, 7.43594;0355;3095;0;2023-05-11T20:16:00+02:00-Bellevuestrasse
2023-04-30T20:36:00+00:00;Liebefeld Park;46.92963, 7.42094;0355;3097;1;2023-04-30T22:36:00+02:00-Liebefeld Park
2023-05-11T18:16:00+00:00;Weidmattweg;46.9366, 7.39547;0351;3018;1;2023-05-11T20:16:00+02:00-Weidmattweg
2023-04-30T20:36:00+00:00;Niederwangen Bahnhof;46.92575, 7.37706;0355;3172;4;2023-04-30T22:36:00+02:00-Niederwangen Bahnhof
2023-05-11T18:16:00+00:00;Bachmätteli;46.93948, 7.38999;0351;3018;1;2023-05-11T20:16:00+02:00-Bachmätteli
2023-04-30T20:36:00+00:00;Junkerngasse;46.9478, 7.45405;0351;3011;1;2023-04-30T22:36:00+02:00-Junkerngasse
2023-05-11T18:16:00+00:00;Monbijoubrücke;46.93965, 7.44023;0351;3007;10;2023-05-11T20:16:00+02:00-Monbijoubrücke
2023-04-30T20:36:00+00:00;Zollgasse;46.95812, 7.48801;0363;3072;2;2023-04-30T22:36:00+02:00-Zollgasse
2023-05-11T18:16:00+00:00;UniS;46.95035, 7.43529;0351;3012;0;2023-05-11T20:16:00+02:00-UniS
